pealkiri,autor,hind,kategooria
Harry Potter ja tarkade kivi,J.K. Rowling,15.99,Fantaasia
Sõrmuste isand: Sõrmuse vennaskond,J.R.R. Tolkien,18.50,Fantaasia
1984,George Orwell,12.40,Düstooopia
Uhkus ja eelarvamus,Jane Austen,10.99,Romantika
Suur Gatsby,F.Scott Fitzgerald,11.20,Klassika
Kuritöö ja karistus,Fjodor Dostojevski,14.30,Klassika
Väike prints,Antoine de Saint-Exupéry,9.50,Lastekirjandus
Da Vinci kood,Dan Brown,13.70,Põnevik
Alkeemik,Paulo Coelho,12.10,Filosoofiline
Näljamängud,Suzanne Collins,14.80,Noorteromaan
Hobbit,J.R.R. Tolkien,16.00,Fantaasia
Tuulest viidud,Margaret Mitchell,17.60,Ajalooline
Mõtle ja saa rikkaks,Napoleon Hill,13.25,Eneseareng
Steve Jobs,Walter Isaacson,19.90,Biograafia
Sherlock Holmes: Baskerville’ide koer,Arthur Conan Doyle,11.75,Detektiiv
Tappa laulurästast,Harper Lee,12.95,Draama